artist,song,acousticness,speechiness,danceability
Shakira,"Whenever, Wherever",0.237,0.0407,0.794
Jimmy Eat World,The Middle,0.0371,0.0526,0.643
Train,Drops of Jupiter (Tell Me),0.153,0.0276,0.481
Geri Halliwell,It's Raining Men,0.063,0.0447,0.637
Blu Cantrell,Hit 'Em Up Style (Oops!),0.201,0.0586,0.667
Britney Spears,I'm a Slave 4 U,0.415,0.106,0.847
Kylie Minogue,In Your Eyes,0.133,0.0672,0.689
Missy Elliott,One Minute Man (feat. Ludacris),0.0266,0.329,0.622
Mary J. Blige,Family Affair,0.132,0.0449,0.911
Faithless,We Come 1 - Radio Edit,0.00188,0.0441,0.645
Limp Bizkit,Rollin' (Air Raid Vehicle),0.00591,0.171,0.603
Lasgo,Something,0.0271,0.0439,0.643
iio,Rapture (feat.Nadia Ali),0.0722,0.0377,0.661
Emma Bunton,What Took You So Long?,0.123,0.0307,0.668
112,It's Over Now,0.0106,0.0409,0.66
Blue,All Rise,0.121,0.0324,0.721
Jessica Simpson,Irresistible,0.0285,0.0556,0.657
Crazy Town,Butterfly,0.00132,0.081,0.736
Michael Jackson,You Rock My World,0.038,0.185,0.854
Eve,Let Me Blow Ya Mind,0.242,0.107,0.908
Jennifer Lopez,Ain't It Funny,0.104,0.0481,0.707
Brandy,Another Day in Paradise - R&B-Version,0.00666,0.0327,0.7
Nickelback,How You Remind Me,0.00135,0.033,0.446
Daft Punk,One More Time,0.0194,0.133,0.613
Outkast,Ms. Jackson,0.143,0.269,0.843
Fragma,Everytime You Need Me - Radio Version,0.15,0.0318,0.682
Mariah Carey,Loverboy,0.183,0.124,0.721
Dido,Thank You,0.3,0.0427,0.725
Joe,Stutter (feat. Mystikal) - Double Take Remix,0.0513,0.117,0.767
P.O.D.,Youth of the Nation,0.00834,0.0621,0.563
Jennifer Lopez,Play,0.0303,0.162,0.775
Missy Elliott,Get Ur Freak On,0.533,0.247,0.797
Ricky Martin,Nobody Wants to Be Lonely (with Christina Aguilera),0.00579,0.0612,0.635
Christina Milian,AM To PM,0.153,0.12,0.872
Roger Sanchez,Another Chance,0.000211,0.0312,0.61
Gorillaz,Clint Eastwood,0.0253,0.171,0.663
2Pac,Until The End Of Time,0.0267,0.203,0.757
Tamia,Stranger in My House,0.103,0.0297,0.676
Mary J. Blige,No More Drama,0.534,0.124,0.653
Jennifer Lopez,Love Don't Cost a Thing,0.00305,0.0707,0.786
Jamiroquai,Little L,0.168,0.129,0.878
Case,Missing You,0.285,0.0553,0.612
112,Peaches & Cream,0.00277,0.334,0.677
Five,Let's Dance - Radio Edit,0.00876,0.0867,0.631
Rui Da Silva,Touch Me (Radio Edit) [feat. Cassandra],0.124,0.0638,0.464
Alien Ant Farm,Smooth Criminal,0.00316,0.0582,0.653
Erick Sermon,Music (feat. Marvin Gaye),0.187,0.203,0.897
D12,Purple Pills,0.0199,0.16,0.78
Usher,Pop Ya Collar - Radio Edit,0.0901,0.0946,0.888
Madonna,Don't Tell Me,0.0502,0.0594,0.699
Blue,If You Come Back,0.0822,0.0319,0.582
Atomic Kitten,Eternal Flame - Single Version,0.0658,0.0318,0.578
Jagged Edge,Where the Party At (feat. Nelly),0.31,0.226,0.596
Afroman,Because I Got High,0.169,0.488,0.802
S Club 7,Don't Stop Movin',0.0285,0.0329,0.822
Craig David,Fill Me In,0.376,0.0365,0.682
Nelly Furtado,Turn Off The Light,0.0839,0.0927,0.587
The Supermen Lovers,Starlight - Radio Edit,0.000424,0.0373,0.739
Mis-Teeq,All I Want - Sunship Radio Edit,0.37,0.0835,0.795
Jagged Edge,Promise,0.136,0.0872,0.751
S Club 7,Have You Ever,0.538,0.0325,0.585
Enya,Only Time,0.841,0.0301,0.418
Faith Hill,There You'll Be,0.513,0.0306,0.321
Ronan Keating,Lovin' Each Day,0.0178,0.0633,0.541
Destiny's Child,Bootylicious,0.00281,0.275,0.84
Steps,It's the Way You Make Me Feel,0.108,0.0239,0.573
Sunshine Anderson,Heard It All Before,0.0614,0.216,0.697
Lenny Kravitz,Again,0.0148,0.0271,0.55
Daniel Bedingfield,Gotta Get Thru This - D'N'D Radio Edit,0.0826,0.0598,0.836
DB Boulevard,Point Of View - Radio Edit,0.00284,0.0287,0.676
Janet Jackson,All For You,0.0174,0.0736,0.753
Atomic Kitten,Whole Again,0.0844,0.0413,0.747
Ja Rule,Livin' It Up,0.0554,0.311,0.874
Destiny's Child,"Independent Women, Pt. 1",0.362,0.206,0.73
DJ Pied Piper & The Masters Of Ceremonies,Do You Really Like It? - Radio Edit,0.124,0.0493,0.847
Jennifer Lopez,I'm Real (feat. Ja Rule) - Murder Remix,0.273,0.151,0.708
Musiq Soulchild,Love,0.342,0.0499,0.569
So Solid Crew,21 Seconds,0.0191,0.241,0.607
Robbie Williams,Eternity,0.504,0.0265,0.469
Basement Jaxx,Romeo,0.00769,0.0491,0.713
Ludacris,Southern Hospitality (Featuring Pharrell),0.035,0.247,0.623
Gabrielle,Rise,0.315,0.026,0.558
Nelly,Ride Wit Me,0.0616,0.0478,0.85
Trick Daddy,I'm a Thug,0.0275,0.122,0.933
Travis,Sing,0.000233,0.0497,0.33
JAY-Z,Izzo (H.O.V.A.),0.0178,0.342,0.618
Gabrielle,Out Of Reach,0.503,0.0452,0.51
OPM,Heaven Is a Halfpipe (If I Die),0.0755,0.0349,0.743
K-Ci & JoJo,Crazy,0.084,0.0258,0.68
Staind,It's Been Awhile,0.00189,0.0338,0.509
3LW,No More (Baby I'ma Do Right),0.102,0.0631,0.721
Ginuwine,Differences,0.318,0.0558,0.562
*NSYNC,Gone,0.421,0.0614,0.699
Lifehouse,Hanging By A Moment,0.000966,0.0349,0.537
Nelly,Dilemma,0.227,0.14,0.727
Eminem,Without Me,0.00286,0.0738,0.908
Avril Lavigne,Complicated,0.0572,0.0459,0.585
Vanessa Carlton,A Thousand Miles,0.323,0.0379,0.56
The Calling,Wherever You Will Go,0.0367,0.0267,0.558
Shakira,Underneath Your Clothes,0.691,0.0415,0.616
No Doubt,Underneath It All,0.232,0.0684,0.729
Truth Hurts,Addictive,0.0737,0.147,0.701
Busta Rhymes,I Know What You Want (feat. Flipmode Squad),0.0142,0.306,0.648
Eminem,'Till I Collapse,0.0622,0.186,0.548
Diddy,"I Need a Girl (Pt. 2) [feat. Loon, Ginuwine & Mario Winans]",0.421,0.483,0.713
Christina Milian,When You Look At Me - Radio Edit,0.0934,0.127,0.955
Madonna,Die Another Day,0.062,0.0901,0.792
Jennifer Lopez,I'm Gonna Be Alright (feat. Nas),0.106,0.265,0.718
Angie Martinez,If I Could Go! (feat. Lil' Mo & Sacario),0.171,0.355,0.583
Linkin Park,In the End,0.00958,0.0584,0.556
Las Ketchup,The Ketchup Song (Aserejé) - Spanglish Version,0.0193,0.0948,0.607
Aaliyah,Rock The Boat,0.0688,0.0336,0.641
Holly Valance,Kiss Kiss,0.00369,0.125,0.705
Sugababes,Round Round,0.00287,0.0338,0.74
Marilyn Manson,Tainted Love,0.00107,0.0728,0.622
Brandy,What About Us?,0.263,0.223,0.686
Chad Kroeger,Hero (feat. Josey Scott),0.00216,0.0364,0.427
Britney Spears,Overprotected - Radio Edit,0.0381,0.0727,0.682
Scooter,The Logical Song,0.00112,0.0382,0.527
Missy Elliott,4 My People (feat. Eve),0.14,0.156,0.969
Aaliyah,More Than A Woman,0.0556,0.0787,0.646
Brandy,Full Moon,0.372,0.139,0.611
Blue,One Love,0.0243,0.0358,0.683
Busta Rhymes,Pass The Courvoisier Part II (feat. P. Diddy & Pharrell) - Remix,0.0844,0.323,0.697
Céline Dion,A New Day Has Come - Radio Remix,0.0826,0.035,0.574
Scooter,Nessaja,0.000748,0.0364,0.486
Eve,Gangsta Lovin',0.0619,0.0608,0.723
Disturbing Tha Peace,Move Bitch,0.245,0.133,0.777
Khia,"My Neck, My Back (Lick It)",0.0296,0.13,0.859
Tweet,Oops (Oh My) [feat. Missy Elliott],0.233,0.29,0.66
Kylie Minogue,Spinning Around,0.292,0.0548,0.761
Nelly,Hot In Herre,0.206,0.12,0.956
Gareth Gates,Anyone of Us (Stupid Mistake),0.285,0.0261,0.7
Christina Aguilera,Dirrty (feat. Redman),0.107,0.322,0.64
B2K,Uh Huh,0.0881,0.0688,0.855
Sugababes,Freak Like Me,0.0996,0.0925,0.517
Dirty Vegas,Days Go By,0.0499,0.0688,0.786
Fat Joe,What's Luv? (feat. Ja-Rule & Ashanti),0.0219,0.0598,0.835
Liberty X,Just A Little,0.00616,0.0574,0.786
No Doubt,Hella Good,0.0135,0.035,0.771
LL Cool J,Luv U Better,0.232,0.239,0.668
Red Hot Chili Peppers,Can't Stop,0.0179,0.0456,0.618
Musiq Soulchild,Halfcrazy,0.462,0.18,0.412
Sean Paul,Gimme the Light,0.141,0.0525,0.778
Faith Evans,I Love You,0.00981,0.0926,0.489
Charli Baltimore,Down 4 U,0.252,0.32,0.64
Kylie Minogue,Love at First Sight,0.0288,0.0428,0.603
N.O.R.E.,Nothin',0.317,0.151,0.791
Gareth Gates,Unchained Melody,0.255,0.0277,0.368
Diddy,I Need a Girl (Pt. 1) [feat. Usher & Loon],0.397,0.208,0.66
Big Brovaz,Nu Flow,0.0903,0.106,0.783
No Doubt,Hey Baby,0.0602,0.125,0.705
Ashanti,Baby,0.0084,0.223,0.567
Sophie Ellis-Bextor,Murder On The Dancefloor,0.00312,0.0309,0.734
Justin Timberlake,Like I Love You,0.0439,0.0646,0.853
Mary J. Blige,Rainy Dayz,0.195,0.229,0.412
A1,Caught in the Middle,0.0524,0.034,0.519
Eminem,Cleanin' Out My Closet,0.0687,0.174,0.908
Ashanti,Happy,0.241,0.0289,0.727
Delta Goodrem,Born to Try,0.246,0.0284,0.542
P!nk,Get the Party Started,0.0011,0.046,0.802
Alicia Keys,A Woman's Worth,0.333,0.158,0.652
Daniel Bedingfield,Gotta Get Thru This - D'N'D Radio Edit,0.0862,0.0586,0.838
Coldplay,Clocks,0.599,0.0279,0.577
Missy Elliott,Work It,0.0778,0.283,0.884
Ronan Keating,If Tomorrow Never Comes,0.333,0.028,0.555
Big Tymers,Still Fly,0.0302,0.162,0.675
Creed,My Sacrifice,0.000101,0.0504,0.32
Ja Rule,Always On Time,0.208,0.199,0.839
Ashanti,Foolish,0.347,0.0532,0.665
Avril Lavigne,Sk8er Boi,6.79e-05,0.0482,0.487
DJ Sammy,Heaven,0.0011,0.0548,0.571
Britney Spears,"I'm Not a Girl, Not Yet a Woman",0.579,0.0245,0.534
Cam’ron,Oh Boy,0.0216,0.145,0.754
Red Hot Chili Peppers,By the Way,0.0264,0.107,0.451
Elvis Presley,A Little Less Conversation - JXL Radio Edit Remix,0.000385,0.0502,0.597
Atomic Kitten,The Tide Is High - Radio Mix,0.0209,0.0322,0.783
*NSYNC,Girlfriend,0.0887,0.0884,0.745
Robbie Williams,Somethin' Stupid,0.429,0.0261,0.654
Alanis Morissette,Hands Clean,0.00192,0.0299,0.513
Usher,U Don't Have to Call,0.0478,0.0459,0.793
Creed,One Last Breath - Radio Version,0.00571,0.0365,0.38
The Goo Goo Dolls,Here Is Gone,0.00052,0.0322,0.338
Puddle Of Mudd,She Hates Me,0.00935,0.0323,0.58
Ludacris,Rollout (My Business),0.0949,0.235,0.921
Blazin' Squad,Crossroads - Radio Edit,0.109,0.042,0.661
Default,Wasting My Time,0.00138,0.0312,0.443
Michelle Branch,All You Wanted,0.00466,0.0286,0.499
Daniel Bedingfield,If You're Not The One,0.504,0.0292,0.688
Enrique Iglesias,Escape,0.0277,0.0297,0.776
Puddle Of Mudd,Blurry,0.00691,0.0562,0.432
Coldplay,In My Place,0.0553,0.0278,0.424
