artist,song,acousticness,speechiness,danceability
Kylie Minogue,I Believe in You,0.00277,0.0704,0.548
Twista,Overnight Celebrity,0.182,0.179,0.828
N.E.R.D,She Wants To Move,0.00402,0.0786,0.766
Britney Spears,Everytime,0.966,0.0337,0.398
U2,Vertigo,0.000138,0.0613,0.416
Franz Ferdinand,Take Me Out,0.000409,0.0377,0.277
J-Kwon,Tipsy - Club Mix,0.0653,0.315,0.925
G-Unit,Wanna Get To Know You,0.106,0.132,0.513
Lil' Flip,Sunshine (feat. Lea),0.0248,0.0946,0.814
Kanye West,Jesus Walks,0.614,0.323,0.637
Evanescence,My Immortal,0.863,0.0356,0.19
Nelly,My Place,0.0498,0.0423,0.6
Lemar,If There's Any Justice,0.0128,0.0453,0.706
No Doubt,It's My Life,0.00202,0.0282,0.612
Avril Lavigne,Don't Tell Me,0.00462,0.0386,0.523
Twista,Slow Jamz,0.314,0.171,0.559
Green Day,American Idiot,2.64e-05,0.0639,0.38
Kelis,Millionaire,0.0217,0.108,0.68
Scissor Sisters,Comfortably Numb,0.237,0.0391,0.803
Alicia Keys,Diary (feat. Tony! Toni! Tone! & Jermaine Paul),0.555,0.0317,0.663
Kanye West,Through The Wire,0.00865,0.247,0.571
Special D.,Come With Me - Radio Edit,0.13,0.0803,0.739
Ludacris,Splash Waterfalls,0.101,0.409,0.734
Avril Lavigne,My Happy Ending,0.00136,0.0758,0.414
Dido,White Flag,0.327,0.0401,0.512
Eamon,Fuck It (I Don't Want You Back),0.214,0.0653,0.828
Beyoncé,"Me, Myself and I",0.226,0.0803,0.75
3 Doors Down,Here Without You,0.0492,0.0252,0.557
Kanye West,All Falls Down,0.149,0.484,0.657
Twista,Sunshine (feat. Anthony Hamilton),0.261,0.294,0.926
Katie Melua,The Closest Thing to Crazy,0.856,0.0312,0.562
Usher,My Boo,0.257,0.118,0.662
Lloyd,Southside,0.377,0.0818,0.688
LMC,Take Me To The Clouds Above - LMC Vs. U2 / Radio Edit,0.00232,0.038,0.668
The Streets,Fit but You Know It,0.23,0.299,0.68
JUVENILE,Slow Motion,0.548,0.325,0.713
Outkast,The Way You Move (feat. Sleepy Brown),0.126,0.0464,0.871
Girls Aloud,Love Machine,0.00127,0.0621,0.663
Jessica Simpson,With You,0.0923,0.108,0.553
Eminem,Like Toy Soldiers,0.0193,0.359,0.52
Gary Jules,Mad World (Feat. Michael Andrews),0.976,0.0374,0.345
Ashlee Simpson,Pieces Of Me,0.0572,0.0773,0.505
Will Young,Leave Right Now,0.145,0.0368,0.641
Alicia Keys,You Don't Know My Name,0.59,0.187,0.264
Mariah Carey,We Belong Together,0.0264,0.0629,0.84
Mario,Let Me Love You,0.235,0.0922,0.656
Kanye West,Gold Digger,0.0195,0.348,0.629
Rihanna,Pon de Replay,0.000155,0.159,0.779
50 Cent,Candy Shop,0.0253,0.466,0.614
James Blunt,You're Beautiful,0.633,0.0278,0.675
Green Day,Boulevard of Broken Dreams,0.00394,0.0309,0.49
The Pussycat Dolls,Don't Cha,0.00542,0.099,0.875
Daniel Powter,Bad Day,0.448,0.0309,0.599
Akon,Bananza (Belly Dancer),0.0345,0.132,0.878
Madonna,Hung Up,0.0039,0.0452,0.649
50 Cent,Just A Lil Bit,0.0322,0.41,0.489
Crazy Frog,Axel F,0.279,0.0407,0.86
Eminem,Ass Like That,0.409,0.366,0.646
Sean Paul,We Be Burnin',0.145,0.151,0.95
Gwen Stefani,Rich Girl,0.0294,0.0416,0.856
The Chemical Brothers,Galvanize,0.0141,0.0751,0.745
Fort Minor,Remember the Name (feat. Styles of Beyond),0.0583,0.0911,0.688
50 Cent,Disco Inferno,0.206,0.231,0.925
The Game,How We Do,0.0455,0.251,0.862
Chris Brown,Run It! (feat. Juelz Santana),0.0246,0.129,0.846
Mariah Carey,It's Like That,0.0901,0.0514,0.8
Black Eyed Peas,My Humps,0.111,0.222,0.802
Ciara,Oh (feat. Ludacris),0.000298,0.0506,0.8
50 Cent,Outta Control - Remix,0.0277,0.246,0.772
Baby Bash,"Baby, I'm Back",0.0508,0.105,0.899
Jennifer Lopez,Get Right,0.0218,0.12,0.741
JAY-Z,Numb / Encore,0.0603,0.166,0.687
The Game,Hate It Or Love It,0.14,0.207,0.802
Gorillaz,Feel Good Inc.,0.00836,0.177,0.818
Black Eyed Peas,Don't Phunk With My Heart,0.00937,0.061,0.69
Akon,Lonely,0.331,0.0352,0.629
Bodyrockers,I Like The Way - Radio Edit,0.0248,0.0431,0.642
Sugababes,Push The Button,0.0485,0.061,0.962
Jeezy,Soul Survivor,0.000839,0.0459,0.684
Eminem,Mockingbird,0.209,0.266,0.637
Shakira,La Tortura (feat. Alejandro Sanz),0.0297,0.0427,0.74
Gorillaz,DARE,0.0229,0.0372,0.76
Snoop Dogg,Signs,0.0319,0.127,0.94
Robbie Williams,Tripping,0.0381,0.0429,0.666
David Banner,Play,0.000213,0.126,0.837
Trillville,Some Cut,0.00341,0.372,0.9
D4L,Laffy Taffy,0.0351,0.428,0.891
Missy Elliott,Lose Control (feat. Ciara & Fat Man Scoop),0.0311,0.121,0.904
Rob Thomas,Lonely No More,0.033,0.109,0.551
Brian McFadden,Almost Here,0.409,0.0336,0.561
Bobby V.,"Slow Down - 12"" Version",0.179,0.103,0.568
Backstreet Boys,Incomplete,0.231,0.0331,0.437
Pretty Ricky,Grind With Me,0.000204,0.045,0.7
Kanye West,Diamonds From Sierra Leone - Remix,0.258,0.27,0.672
Snoop Dogg,Drop It Like It's Hot,0.169,0.216,0.892
Fat Joe,Get It Poppin' (feat. Nelly) - Radio Version,0.0628,0.372,0.905
Destiny's Child,Soldier (feat. T.I. & Lil' Wayne),0.0444,0.361,0.878
Ciara,"1, 2 Step (feat. Missy Elliott) - Main",0.0444,0.161,0.939
Amerie,1 Thing,0.115,0.332,0.636
Ludacris,Get Back,0.0594,0.263,0.555
Franz Ferdinand,Do You Want To,0.0724,0.0448,0.412
Natalie Imbruglia,Shiver,0.00115,0.0316,0.489
Gwen Stefani,Hollaback Girl,0.35,0.0929,0.926
Pretty Ricky,Your Body,0.176,0.113,0.838
Thirty Seconds To Mars,The Kill,0.0014,0.0791,0.179
Alicia Keys,Karma,0.0743,0.0615,0.727
2Pac,Ghetto Gospel,0.0964,0.0467,0.794
Craig David,Don't Love You No More (I'm Sorry),0.462,0.0245,0.636
Katie Melua,Nine Million Bicycles,0.516,0.0322,0.534
Lil Jon & The East Side Boyz,Lovers And Friends,0.0541,0.22,0.675
Mariah Carey,Don't Forget About Us - Radio Edit,0.0422,0.0395,0.7
Ying Yang Twins,Wait (The Whisper Song),0.00112,0.347,0.933
Will Smith,Switch,0.0107,0.18,0.873
Bow Wow,Like You (feat. Ciara),0.0465,0.0876,0.714
Kaiser Chiefs,Everyday I Love You Less And Less,0.00466,0.0407,0.49
Kelly Clarkson,Behind These Hazel Eyes,0.00165,0.0382,0.548
Black Eyed Peas,Don't Lie,0.16,0.186,0.662
Westlife,You Raise Me Up,0.631,0.0314,0.129
Ray J,One Wish,0.278,0.28,0.525
Papa Roach,Scars,0.0875,0.0494,0.455
Arctic Monkeys,I Bet You Look Good On The Dancefloor,0.00225,0.0356,0.535
Shayne Ward,That's My Goal,0.372,0.0336,0.286
Bow Wow,Let Me Hold You (feat. Omarion),0.0915,0.199,0.815
Kaiser Chiefs,I Predict A Riot,0.0243,0.0766,0.395
Usher,Caught Up,0.027,0.0623,0.817
Kelly Clarkson,Because of You,0.248,0.0313,0.587
3 Doors Down,Let Me Go,0.0181,0.0387,0.478
Nickelback,Photograph,0.000932,0.0292,0.515
T-Pain,I'm Sprung,0.088,0.108,0.722
Destiny's Child,Cater 2 U,0.286,0.197,0.605
The Pussycat Dolls,Stickwitu,0.283,0.0587,0.548
Ryan Cabrera,True,0.459,0.0241,0.598
Stereophonics,Dakota,0.129,0.0675,0.506
Eminem,Like Toy Soldiers,0.0193,0.359,0.52
Nelly,Over And Over,0.0065,0.0803,0.644
Coldplay,Speed of Sound,0.00488,0.0577,0.514
KT Tunstall,Suddenly I See,0.225,0.0449,0.587
Destiny's Child,Girl,0.31,0.105,0.567
Kelly Clarkson,Since U Been Gone,0.00206,0.0322,0.662
U2,Sometimes You Can't Make It On Your Own,0.00275,0.0247,0.53
The All-American Rejects,Dirty Little Secret,0.000343,0.0432,0.469
Toby Keith,As Good As I Once Was,0.266,0.0393,0.68
Gwen Stefani,Cool,0.0322,0.0281,0.709
Foo Fighters,Best of You,0.000769,0.0696,0.366
Shakira,Hips Don't Lie (feat. Wyclef Jean),0.284,0.0707,0.778
Sean Paul,Temperature,0.106,0.0685,0.951
Justin Timberlake,SexyBack (feat. Timbaland),0.0584,0.0789,0.967
Beyoncé,Irreplaceable,0.0293,0.382,0.447
Amy Winehouse,Rehab,0.0541,0.0552,0.407
Rihanna,SOS,0.004,0.0361,0.677
Gnarls Barkley,Crazy,0.0505,0.0336,0.855
Busta Rhymes,Touch It,0.0043,0.37,0.658
Nelly Furtado,Maneater,0.0261,0.0397,0.796
Bob Sinclar,Rock This Party - Everybody Dance Now,0.0714,0.122,0.893
Diddy,Come to Me (feat. Nicole Scherzinger),0.0176,0.0756,0.819
Madonna,Sorry,0.00121,0.046,0.589
Chamillionaire,Ridin',0.189,0.0993,0.787
Black Eyed Peas,Pump It,0.00937,0.181,0.648
Nelly Furtado,Promiscuous,0.0569,0.0506,0.808
Fedde Le Grand,Put Your Hands Up for Detroit - Radio Edit,0.0154,0.229,0.814
Sean Paul,(When You Gonna) Give It Up to Me (feat. Keyshia Cole) - Radio Version,0.067,0.225,0.711
The Pussycat Dolls,Buttons,0.152,0.27,0.565
Ciara,Get Up (feat. Chamillionaire),0.0248,0.109,0.964
Eminem,Shake That,0.0507,0.117,0.963
Cherish,Do It To It,0.00798,0.169,0.826
Muse,Supermassive Black Hole,0.0492,0.0439,0.668
Chris Brown,Gimme That,0.00374,0.0466,0.678
Infernal,From Paris to Berlin,0.096,0.0816,0.741
Cassie,Me & U,0.352,0.0294,0.803
E-40,U and Dat (feat. T. Pain & Kandi Girl),0.0241,0.277,0.858
The Pussycat Dolls,Beep,0.00952,0.0434,0.938
Lil Jon,Snap Yo Fingers,0.00647,0.23,0.835
Armand Van Helden,My My My - Radio Edit,0.0195,0.137,0.678
The Notorious B.I.G.,"Nasty Girl (feat. Diddy, Nelly, Jagged Edge & Avery Storm) - 2005 Remaster",0.0949,0.141,0.833
Yung Joc,It's Goin' Down (feat. Nitti),0.0986,0.0612,0.888
Shayne Ward,No Promises,0.527,0.026,0.5
Justin Timberlake,My Love (feat. T.I.),0.277,0.224,0.771
Nickelback,Savin' Me,0.000731,0.0276,0.441
Nelly,Grillz,0.0358,0.241,0.867
Take That,Patience,0.142,0.0405,0.309
Fergie,London Bridge,0.216,0.357,0.769
Cascada,Everytime We Touch - Radio Edit,0.00461,0.0555,0.64
D4L,Laffy Taffy,0.0351,0.428,0.891
LL Cool J,Control Myself,0.00928,0.211,0.825
Beyoncé,Deja Vu (feat. Jay-Z),0.0071,0.341,0.644
P!nk,Stupid Girls,0.000738,0.071,0.683
Eminem,When I'm Gone,0.0553,0.352,0.618
Kelis,Bossy,0.000182,0.19,0.906
Bob Sinclar,Love Generation - Radio Edit,0.175,0.062,0.715
Meck,Thunder in My Heart Again (Radio Edit),0.000241,0.0294,0.679
Mary J. Blige,Be Without You - Kendu Mix,0.0717,0.0998,0.726
Girls Aloud,Something Kinda Ooooh,0.0232,0.0473,0.681
Rihanna,Unfaithful,0.839,0.0334,0.588
Kanye West,Touch The Sky,0.0114,0.342,0.552
Dem Franchize Boyz,"Lean Wit It, Rock Wit It",0.082,0.307,0.886
Evanescence,Call Me When You're Sober,0.00193,0.0524,0.45
Chingy,Pullin' Me Back,0.0825,0.286,0.786
Nickelback,Far Away,0.000681,0.0309,0.518
Fall Out Boy,"Dance, Dance",0.00523,0.154,0.622
Leona Lewis,A Moment Like This,0.423,0.0301,0.261
T.I.,What You Know,0.0155,0.0344,0.551
Ludacris,Money Maker,0.15,0.27,0.551
Nick Lachey,What's Left Of Me,0.142,0.0375,0.42
Jibbs,Chain Hang Low,0.0259,0.262,0.792
Arctic Monkeys,When The Sun Goes Down,0.0341,0.199,0.348
Rascal Flatts,Life is a Highway,0.00185,0.0613,0.561
Beyoncé,Check On It (feat. Slim Thug),0.0805,0.218,0.7
Keyshia Cole,Love,0.064,0.0283,0.688
Lily Allen,Smile,0.00143,0.0259,0.632
Ne-Yo,Sexy Love,0.297,0.0413,0.693
JoJo,Too Little Too Late,0.0113,0.0431,0.535
Mary J. Blige,One,0.0841,0.0777,0.344
Bubba Sparxxx,Ms. New Booty,0.016,0.416,0.64
Amy Winehouse,You Know I'm No Good,0.0132,0.0309,0.705
Rascal Flatts,What Hurts The Most,0.0088,0.0277,0.537
Red Hot Chili Peppers,Dani California,0.0193,0.0437,0.556
Scissor Sisters,I Don't Feel Like Dancin',0.0195,0.0276,0.707
Ne-Yo,So Sick,0.246,0.31,0.452
Hinder,Lips Of An Angel,0.0208,0.0341,0.474
The Raconteurs,"Steady, As She Goes",0.0132,0.12,0.525
The Fratellis,Chelsea Dagger,0.0491,0.144,0.511
Fort Minor,Where'd You Go (feat. Holly Brook & Jonah Matranga),0.262,0.238,0.684
The Pussycat Dolls,Stickwitu,0.283,0.0587,0.548
Panic! At The Disco,I Write Sins Not Tragedies,0.0737,0.14,0.566
James Blunt,Goodbye My Lover,0.953,0.0512,0.432
Christina Aguilera,Ain't No Other Man,0.00376,0.222,0.862
Westlife,The Rose,0.784,0.0294,0.272
Keane,Is It Any Wonder?,3.82e-05,0.0363,0.489
Orson,No Tomorrow,0.0065,0.0691,0.656
T-Pain,I'm N Luv (Wit a Stripper) (feat. Mike Jones),0.00544,0.0688,0.731
KT Tunstall,Black Horse And The Cherry Tree,0.328,0.0641,0.748
Natasha Bedingfield,Unwritten,0.00584,0.0399,0.706
Razorlight,America,0.295,0.0305,0.447
James Morrison,You Give Me Something,0.216,0.114,0.559
Snow Patrol,You're All I Have,5.48e-05,0.045,0.467
The Fray,How to Save a Life,0.269,0.0379,0.64
Sandi Thom,I Wish I Was a Punk Rocker (with Flowers in My Hair),0.544,0.358,0.7
My Chemical Romance,Welcome to the Black Parade,0.000289,0.0752,0.217
Razorlight,In The Morning,0.00379,0.042,0.616
The All-American Rejects,Dirty Little Secret,0.000343,0.0432,0.469
James Morrison,Wonderful World,0.0548,0.029,0.474
Chris Brown,Yo (Excuse Me Miss),0.119,0.272,0.536
P!nk,Who Knew,0.00462,0.0274,0.688
The Kooks,Naive,0.0759,0.0892,0.391
Leona Lewis,Bleeding Love,0.188,0.0357,0.638
Rihanna,Umbrella,0.00864,0.134,0.583
Britney Spears,Gimme More,0.25,0.0334,0.788
Fergie,Big Girls Don't Cry (Personal),0.205,0.0335,0.708
Mark Ronson,Valerie (feat. Amy Winehouse) - Version Revisited,0.00253,0.0544,0.698
Plain White T's,Hey There Delilah,0.872,0.0293,0.656
Justin Timberlake,What Goes Around.../...Comes Around (Interlude),0.122,0.0709,0.687
Gwen Stefani,The Sweet Escape,0.191,0.0343,0.756
Timbaland,The Way I Are,0.181,0.1,0.731
Nelly Furtado,Say It Right,0.0476,0.139,0.872
Ida Corr,Let Me Think About It,0.00022,0.046,0.762
Alex Gaudino,Destination Calabria - Radio Edit,0.0015,0.0425,0.627
September,Cry for You,0.00133,0.0301,0.767
Akon,Smack That,0.317,0.0475,0.94
Timbaland,Give It To Me,0.168,0.0632,0.975
50 Cent,Ayo Technology,0.0828,0.132,0.63
Eric Prydz,Proper Education - Radio Edit,0.00102,0.0523,0.537
Fedde Le Grand,Put Your Hands Up For Detroit - Radio Edit,0.0153,0.202,0.827
Ciara,Like a Boy,0.267,0.145,0.701
Kanye West,Stronger,0.00564,0.153,0.617
Beyoncé,Beautiful Liar,0.00554,0.0703,0.764
Gym Class Heroes,Cupid's Chokehold / Breakfast in America - Radio Mix,0.495,0.0781,0.584
Akon,I Wanna Love You,0.0359,0.0417,0.865
Soulja Boy,Crank That (Soulja Boy),0.515,0.0786,0.736
Fat Joe,Make It Rain,0.0106,0.197,0.744
P!nk,U + Ur Hand,0.00144,0.0528,0.709
Rihanna,Shut Up And Drive,0.00101,0.0349,0.735
Lloyd,Get It Shawty,0.123,0.241,0.822
Kanye West,Can't Tell Me Nothing,0.0122,0.039,0.596
Camille Jones,The Creeps - Fedde Le Grand Radio Mix,0.278,0.0603,0.847
Linkin Park,What I've Done,0.0141,0.0324,0.623
Keyshia Cole,Last Night,0.166,0.0623,0.918
Chris Brown,Kiss Kiss (feat. T-Pain),0.0506,0.225,0.729
Shop Boyz,Party Like A Rock Star,0.00541,0.0395,0.619
Finger Eleven,Paralyzer,0.157,0.0456,0.644
Justin Timberlake,Summer Love,0.0756,0.087,0.606
MiMS,This Is Why I'm Hot,0.277,0.576,0.621
Fabolous,Make Me Better,0.33,0.0995,0.607
Seether,Fake It,0.00141,0.0518,0.611
Take That,Patience,0.142,0.0405,0.309
Arctic Monkeys,Brianstorm,8.15e-05,0.191,0.42
Justin Timberlake,My Love (feat. T.I.),0.277,0.224,0.771
Fergie,Glamorous,0.298,0.23,0.811
Linkin Park,Bleed It Out,0.114,0.0508,0.529
My Chemical Romance,Teenagers,0.0506,0.0632,0.463
Calvin Harris,Acceptable in the 80's,0.0143,0.0511,0.787
Sugababes,About You Now,6.52e-05,0.0378,0.584
Avril Lavigne,Girlfriend,0.000722,0.102,0.56
Ne-Yo,Because Of You,0.528,0.0356,0.81
Daughtry,It's Not Over,0.0467,0.0538,0.45
Unk,Walk It Out,0.0982,0.0813,0.794
Lloyd,You,0.102,0.47,0.412
Klaxons,Golden Skans,0.000418,0.0381,0.463
T-Pain,Bartender (feat. Akon),0.0611,0.133,0.675
Baby Boy Da Prince,The Way I Live - Main Explicit,0.0147,0.248,0.88
Fergie,Fergalicious,0.0576,0.316,0.906
Omarion,Ice Box,0.189,0.134,0.775
Pretty Ricky,On the Hotline - Amended Version,0.0185,0.183,0.704
Nickelback,Rockstar,0.0459,0.0386,0.616
Fall Out Boy,Thnks fr th Mmrs,0.00511,0.0623,0.459
Justin Timberlake,LoveStoned / I Think She Knows (Interlude),0.34,0.0549,0.859
All Time Low,"Dear Maria, Count Me In",0.00725,0.0805,0.459
Amy Winehouse,Back To Black,0.134,0.0373,0.403
Keyshia Cole,Let It Go,0.197,0.213,0.808
Ciara,Promise,0.409,0.0425,0.697
Enrique Iglesias,Do You Know? (The Ping Pong Song),0.0523,0.0487,0.753
T2,Heartbroken - Edit,0.0258,0.0329,0.716
Robyn,With Every Heartbeat,0.00877,0.0395,0.477
Maroon 5,Makes Me Wonder,0.00485,0.0357,0.803
Fall Out Boy,"This Ain't A Scene, It's An Arms Race",0.000747,0.0636,0.435
Paramore,Misery Business,0.00272,0.0735,0.517
Hinder,Better Than Me,0.205,0.029,0.451
Huey,"Pop, Lock & Drop It - Video Edit",0.00308,0.222,0.723
Foo Fighters,The Pretender,0.000917,0.0431,0.433
Plies,Shawty (feat. T Pain),0.0419,0.126,0.444
Kaiser Chiefs,Ruby,0.00673,0.0512,0.451
Mark Ronson,Stop Me (feat. Daniel Merriweather),0.00128,0.0403,0.626
Bow Wow,Outta My System (feat. T-Pain & Johntá Austin),0.0917,0.183,0.772
Jim Jones,We Fly High,0.0847,0.298,0.685
The Red Jumpsuit Apparatus,Face Down,0.000665,0.0399,0.545
MIKA,Grace Kelly,0.0242,0.0454,0.675
Christina Aguilera,Candyman,0.0125,0.23,0.686
Sean Kingston,Beautiful Girls,0.15,0.0687,0.762
Akon,Don't Matter,0.225,0.0371,0.801
James Blunt,1973,0.0652,0.0269,0.72
Carrie Underwood,Before He Cheats,0.271,0.0405,0.519
Just Jack,Starz In Their Eyes,0.00184,0.0652,0.67
T-Pain,Buy U a Drank (Shawty Snappin') (feat. Yung Joc),0.0108,0.262,0.451
Bone Thugs-N-Harmony,I Tried,0.0104,0.0742,0.727
Avril Lavigne,When You're Gone,0.191,0.0323,0.457
Rich Boy,Throw Some D's,0.0368,0.43,0.697
MIKA,Love Today,0.0304,0.0664,0.673
Manic Street Preachers,Your Love Alone Is Not Enough (feat. Nina Persson),0.00143,0.0459,0.344
Elliott Yamin,Wait for You,0.25,0.0281,0.764
Wyclef Jean,"Sweetest Girl (Dollar Bill) (feat. Akon, Lil' Wayne & Niia)",0.0772,0.0553,0.733
Boys Like Girls,The Great Escape,0.00166,0.0635,0.423
Take That,Rule The World - Radio Edit,0.0376,0.034,0.357
J. Holiday,Bed,0.17,0.0504,0.684
Red Hot Chili Peppers,Snow (Hey Oh),0.116,0.0499,0.427
Ludacris,Runaway Love,0.329,0.283,0.405
Flo Rida,Low (feat. T-Pain),0.0928,0.0791,0.918
Katy Perry,I Kissed A Girl,0.00223,0.0677,0.699
Rihanna,Take A Bow,0.248,0.0715,0.697
Alicia Keys,No One,0.0209,0.0285,0.644
Timbaland,Apologize,0.0292,0.0278,0.653
Ne-Yo,Miss Independent,0.48,0.145,0.668
Chris Brown,With You,0.134,0.0698,0.662
Beyoncé,If I Were a Boy,0.107,0.0313,0.632
Kardinal Offishall,Dangerous,0.00437,0.0756,0.949
Madcon,Beggin (original version),0.0271,0.057,0.715
September,Cry for You,0.00133,0.0301,0.767
Rihanna,Disturbia,0.0863,0.0571,0.707
Guru Josh Project,Infinity 2008,0.000337,0.0576,0.493
Britney Spears,Break the Ice,0.689,0.0445,0.712
Lil Wayne,Lollipop,0.056,0.0831,0.829
Basshunter,Now You're Gone - Video Edit,0.0213,0.354,0.639
Kanye West,Flashing Lights,0.0381,0.0399,0.639
Madonna,4 Minutes (feat. Justin Timberlake & Timbaland),0.00994,0.0652,0.753
Katy Perry,Hot N Cold,7.95e-05,0.0418,0.706
Rihanna,Don't Stop The Music,0.0336,0.0643,0.835
Snoop Dogg,Sensual Seduction,0.003,0.0682,0.756
Akon,Right Now (Na Na Na),0.262,0.152,0.83
Britney Spears,Womanizer,0.073,0.0622,0.724
Eric Prydz,Pjanoo - Radio Edit,0.000563,0.0295,0.605
Kelly Rowland,Work,0.00499,0.0538,0.888
Jeezy,Put On,0.00342,0.0353,0.654
Madonna,Give It 2 Me,0.0933,0.0414,0.837
The Pussycat Dolls,When I Grow Up,0.00165,0.05,0.671
will.i.am,Heartbreaker,0.0352,0.0732,0.788
Soulja Boy,Crank That (Soulja Boy),0.515,0.0786,0.736
Britney Spears,Piece of Me,0.0902,0.216,0.769
T.I.,Live Your Life,0.071,0.255,0.375
Ne-Yo,Closer,0.0225,0.0738,0.709
Lil Wayne,A Milli,0.0387,0.278,0.674
Colby O'Donis,What You Got,0.0327,0.038,0.775
Miley Cyrus,See You Again,0.0149,0.177,0.692
Basshunter,All I Ever Wanted - Radio Edit,0.164,0.0508,0.645
Chris Brown,Kiss Kiss (feat. T-Pain),0.0506,0.225,0.729
Finger Eleven,Paralyzer,0.157,0.0456,0.644
Alesha Dixon,The Boy Does Nothing,0.121,0.121,0.632
Dizzee Rascal,Dance Wiv Me - Radio Edit,0.0476,0.0451,0.878
Gabriella Cilmi,Sweet About Me,0.0607,0.0288,0.671
Jack White,Another Way to Die,0.0239,0.128,0.486
Plies,Hypnotized (feat. Akon),0.16,0.0797,0.84
The Pussycat Dolls,I Hate This Part,0.0659,0.0317,0.756
Sean Kingston,Take You There,0.0182,0.0696,0.752
Natasha Bedingfield,Pocketful of Sunshine,0.203,0.0391,0.726
The Offspring,"You're Gonna Go Far, Kid",0.00428,0.0638,0.55
Kanye West,Homecoming,0.337,0.189,0.667
Estelle,American Boy,0.171,0.326,0.727
Saving Abel,Addicted,0.000821,0.0338,0.512
Pendulum,Propane Nightmares,0.000262,0.0825,0.356
The Game,My Life,0.0724,0.349,0.673
Danity Kane,Damaged,0.0912,0.05,0.774
P!nk,So What,0.000334,0.0425,0.534
Kanye West,Love Lockdown,0.0542,0.0323,0.76
Gym Class Heroes,Cookie Jar (feat. The-Dream),0.0253,0.0282,0.687
M.I.A.,Paper Planes,0.033,0.222,0.447
3 Doors Down,It's Not My Time,0.00153,0.0602,0.529
Kylie Minogue,Wow,0.151,0.202,0.654
Mariah Carey,Touch My Body,0.0996,0.0502,0.715
MGMT,Kids,0.00076,0.0719,0.451
The Ting Tings,Shut Up and Let Me Go,0.0109,0.0581,0.852
Lil Wayne,Got Money,0.00188,0.118,0.694
Santana,Into the Night (feat. Chad Kroeger),0.0137,0.0331,0.595
The-Dream,I Luv Your Girl,0.014,0.0341,0.723
Wiley,Wearing My Rolex - Radio Edit,0.0468,0.135,0.876
Usher,Love in This Club (feat. Young Jeezy),0.0572,0.0732,0.573
Sam Sparro,Black & Gold - Radio Edit,0.00116,0.0763,0.383
"H ""two"" O",What's It Gonna Be (feat. Platnum),0.0085,0.0341,0.733
The Ting Tings,That's Not My Name,0.0451,0.0893,0.755
Plies,"Bust It Baby, Pt. 2 (feat. Ne-Yo)",0.154,0.167,0.648
James Morrison,Broken Strings,0.00967,0.029,0.57
Leona Lewis,Run,0.428,0.0291,0.285
Metro Station,Shake It,0.00221,0.0798,0.618
T.I.,Whatever You Like,0.0161,0.0709,0.68
Trey Songz,Can't Help but Wait,0.358,0.0737,0.699
OneRepublic,Stop And Stare,0.0659,0.0332,0.492
Alexandra Burke,Hallelujah,0.654,0.0291,0.177
Mary J. Blige,Just Fine,0.0394,0.117,0.923
Jordin Sparks,One Step At a Time,0.0825,0.0289,0.766
Coldplay,Viva La Vida,0.0954,0.0287,0.486
Kings of Leon,Sex on Fire,0.00172,0.054,0.542
Kanye West,Good Life,0.00305,0.346,0.439
Duffy,Mercy,0.266,0.0332,0.793
David Archuleta,Crush,0.00836,0.0322,0.57
J. Holiday,Suffocate - Superclean,0.64,0.361,0.458
Gavin DeGraw,In Love With a Girl,0.0191,0.0438,0.438
Jordin Sparks,Tattoo,0.431,0.0399,0.566
Coldplay,Violet Hill,0.0614,0.0374,0.33
Ray J,Sexy Can I feat. Yung Berg,0.299,0.325,0.575
Jennifer Hudson,Spotlight,0.0448,0.051,0.707
John Legend,Green Light (feat. André 3000),0.0912,0.119,0.622
Jonas Brothers,Burnin' Up,0.0296,0.0817,0.667
Lupe Fiasco,Superstar (feat. Matthew Santos),0.207,0.361,0.572
Chris Brown,Forever,0.0368,0.0459,0.672
Adele,Chasing Pavements,0.291,0.0255,0.614
Leona Lewis,Better in Time,0.512,0.0506,0.584
Fergie,Clumsy,0.191,0.131,0.731
T-Pain,Can't Believe It (feat. Lil' Wayne),0.00179,0.049,0.648
Black Eyed Peas,I Gotta Feeling,0.0873,0.0265,0.743
Lady Gaga,Poker Face,0.118,0.0787,0.851
Beyoncé,Halo,0.272,0.0628,0.508
David Guetta,Sexy Bitch (feat. Akon),0.0771,0.0486,0.813
Flo Rida,Right Round,0.009,0.0551,0.72
Taylor Swift,Love Story,0.131,0.0311,0.617
Pitbull,Hotel Room Service,0.00301,0.227,0.849
Britney Spears,Circus,0.147,0.052,0.791
Lady Gaga,LoveGame,0.00569,0.0523,0.894
Skillet,Monster,0.0431,0.0741,0.64
The Prodigy,Omen,0.000941,0.0441,0.545
Black Eyed Peas,Meet Me Halfway,0.00474,0.0735,0.798
Kanye West,Heartless,0.0515,0.136,0.79
Kid Cudi,Day 'N' Nite (Nightmare),0.462,0.0653,0.88
Lady Gaga,Just Dance,0.0264,0.0311,0.822
Britney Spears,If U Seek Amy,0.0192,0.0339,0.717
Pitbull,I Know You Want Me (Calle Ocho),0.0142,0.149,0.825
Mariah Carey,Obsessed,0.0465,0.0625,0.742
Beyoncé,Sweet Dreams,0.0895,0.111,0.694
Agnes,Release Me,0.00645,0.0321,0.621
Black Eyed Peas,Boom Boom Pow,0.13,0.0663,0.867
Shakira,She Wolf,0.285,0.0443,0.865
