BROKERTITLE,TYPE,PRICE,BEDS,BATH,PROPERTYSQFT,STATE,MAIN_ADDRESS,ADMINISTRATIVE_AREA_LEVEL_2,LOCALITY,SUBLOCALITY
,Condo for sale,1165000,1,1.0,815.0,"Brooklyn, NY 11249","338 Berry St Apt 4EBrooklyn, NY 11249",New York,Kings County,Brooklyn
,Multi-family home for sale,1199000,6,5.0,3290.0,"Staten Island, NY 10307","10 Simon CtStaten Island, NY 10307",,New York,Richmond County
,Multi-family home for sale,700000,6,2.0,3053.0,"Bronx, NY 10453","229 W Tremont Ave Unit ABronx, NY 10453",United States,New York,Bronx County
,Multi-family home for sale,2150000,8,4.0,3200.0,"Brooklyn, NY 11204","2226 63rd StBrooklyn, NY 11204",United States,New York,Kings County
,Multi-family home for sale,1280000,7,5.0,2460.0,"Woodhaven, NY 11421","86-05 91st AveWoodhaven, NY 11421",United States,New York,Queens County
Brokered by Brown Harris Stevens,Co-op for sale,199900,1,1.0,2184.207862,"Bronx, NY 10451","828 Gerard Ave Apt 5FBronx, NY 10451",,Bronx County,The Bronx
,Co-op for sale,369000,2,1.0,2184.207862,"Flushing, NY 11355","43-40 Union St Unit 3DFlushing, NY 11355",New York,Queens County,Queens
,Multi-family home for sale,699000,4,3.0,1591.0,"Jamaica, NY 11435","111-31 141st StJamaica, NY 11435",,New York,Queens County
,Co-op for sale,4250000,3,2.0,2400.0,"Manhattan, NY 10012","123 Prince St Unit 1Manhattan, NY 10012",,New York County,New York
Brokered by Weichert Realtors TMT Group,Multi-family home for sale,825000,2,2.0,2184.207862,"Flushing, NY 11358","32-39 Jordan StFlushing, NY 11358",United States,New York,Queens County
Brokered by American Homes Group,Condo for sale,329000,2,1.0,837.0,"Staten Island, NY 10304","55 Austin Pl Apt 4LStaten Island, NY 10304",New York,Richmond County,Staten Island
,Multi-family home for sale,889000,2,2.0,1520.0,"Staten Island, NY 10314","17 S Greenleaf AveStaten Island, NY 10314",,New York,Richmond County
,Multi-family home for sale,769000,2,2.0,2184.207862,"Richmond Hill South, NY 11419","101-55 112th StRichmond Hill South, NY 11419",United States,New York,Queens County
,Multi-family home for sale,1200000,4,2.0,2536.0,"Brooklyn, NY 11214","66 Bay 22nd StBrooklyn, NY 11214",United States,New York,Kings County
,Co-op for sale,220500,2,1.0,900.0,"Staten Island, NY 10301","350 Richmond Ter Apt 3MStaten Island, NY 10301",,Richmond County,Staten Island
,Multi-family home for sale,1999000,3,3.0,2739.0,"Brooklyn, NY 11209","259 80th StBrooklyn, NY 11209",United States,New York,Kings County
,Co-op for sale,3250000,2,2.0,1300.0,"New York, NY 10013","240 Centre St Unit 2MNew York, NY 10013",New York County,New York,Manhattan
,Condo for sale,1650000,2,2.0,1267.0,"Brooklyn, NY 11231","473 Hicks St Apt 4Brooklyn, NY 11231",,Kings County,Brooklyn
"Brokered by Homes R Us Realty of NY, Inc.",Multi-family home for sale,1049000,4,4.0,2554.0,"Staten Island, NY 10307","342 Manhattan StStaten Island, NY 10307",United States,New York,Richmond County
,House for sale,998800,3,4.0,2400.0,"Staten Island, NY 10301","1191 Clove RdStaten Island, NY 10301",,New York,Richmond County
,House for sale,998800,3,4.0,2400.0,"Staten Island, NY 10301","Waldron AveStaten Island, NY 10301",10301,United States,New York
,For sale,3150000,3,2.0,1952.0,"Brooklyn, NY 11217","184 Lincoln Pl Unit 2Brooklyn, NY 11217",,Kings County,Brooklyn
,Co-op for sale,849000,1,1.0,2184.207862,"Manhattan, NY 10023","263 W End Ave Apt 14CManhattan, NY 10023",New York,New York County,New York
,Co-op for sale,559500,1,1.0,800.0,"Brooklyn, NY 11235","50 Brighton 1 Rd Unit 5HBrooklyn, NY 11235",New York,Kings County,Brooklyn
,Co-op for sale,0,1,1.0,835.0,"New York, NY 10065","333 E 66th St Apt 8ENew York, NY 10065",,New York County,New York
Brokered by Douglas Elliman - 575 Madison Ave,Condo for sale,1900000,2,2.0,1029.0,"New York, NY 10002","150 Rivington St Apt 3GNew York, NY 10002",New York,New York County,New York
,Condo for sale,1250000,2,2.0,1201.0,"Brooklyn, NY 11218","1105 Cortelyou Rd # 301Brooklyn, NY 11218",New York,Kings County,Brooklyn
,Condo for sale,1395000,2,2.0,1182.0,"Brooklyn, NY 11238","737 Bergen St Apt 1BBrooklyn, NY 11238",New York,Kings County,Brooklyn
Brokered by Monticello Real Estate Group,Co-op for sale,198000,1,1.0,2184.207862,"Woodhaven, NY 11421","83-55 Woodhaven Blvd Unit 1AWoodhaven, NY 11421",New York,Queens County,Queens
,Contingent,619888,3,2.0,1400.0,"Staten Island, NY 10306","35 Center PlStaten Island, NY 10306",,New York,Richmond County
,Multi-family home for sale,1489000,6,2.3738608579684373,3780.0,"Staten Island, NY 10308","205 Wiman AveStaten Island, NY 10308",,New York,Richmond County
,Townhouse for sale,65000000,3,2.3738608579684373,15200.0,"New York, NY 10075","4 E 79th StNew York, NY 10075",United States,New York,New York County
,Condo for sale,1595000,3,3.0,1413.0,"Brooklyn, NY 11221","924 Lafayette Ave Unit PhBrooklyn, NY 11221",United States,New York,Kings County
Brokered by Douglas Elliman - 575 Madison Ave,Condo for sale,655000,3,2.0,803.0,"Brooklyn, NY 11237","1504 Jefferson Ave Unit GardenbBrooklyn, NY 11237",United States,New York,Kings County
,Condo for sale,1175000,2,2.0,1115.0,"Brooklyn, NY 11221","924 Lafayette Ave Apt 2Brooklyn, NY 11221",,Kings County,Brooklyn
,Multi-family home for sale,2880000,9,2.3738608579684373,2350.0,"Whitestone, NY 11357","16-33 166th StWhitestone, NY 11357",,New York,Queens County
,Multi-family home for sale,798000,3,4.0,2150.0,"Staten Island, NY 10305","425 Father Capodanno BlvdStaten Island, NY 10305",United States,New York,Richmond County
,Land for sale,1685000,3,2.3738608579684373,2184.207862,"Ridgewood, NY 11385","519 Fairview AveRidgewood, NY 11385",,New York,Queens County
Brokered by Corcoran Chelsea/Flatiron,Condo for sale,31000000,3,4.0,4492.0,"New York, NY 10019","111 W 57th St # 50New York, NY 10019",New York,New York County,New York
,Land for sale,2550000,3,2.3738608579684373,2184.207862,"Brooklyn, NY 11235","234 Ocean View AveBrooklyn, NY 11235",,New York,Kings County
,Land for sale,119000,3,2.3738608579684373,2184.207862,"Bronx, NY 10466","3652 DE Reimer AveBronx, NY 10466",,New York,Bronx County
Brokered by Gosen Properties Inc,Foreclosure,269000,5,2.0,2184.207862,"Rosedale, NY 11422","24149 148th DrRosedale, NY 11422",,New York,Queens County
,Condo for sale,1650000,2,2.0,1065.0,"New York, NY 10128","200 E 94th St Apt 414New York, NY 10128",,New York County,New York
,Condo for sale,0,2,2.0,1065.0,"New York, NY 10128","200 E 94th St Apt 414New York, NY 10128",,New York County,New York
,Townhouse for sale,12950000,5,4.0,3344.0,"Manhattan, NY 10014","214 W 11th StManhattan, NY 10014",,New York,New York County
Brokered by Brown Harris Stevens - 1926 Broadway,Condo for sale,5750000,3,2.0,2223.0,"Manhattan, NY 10010","250 E 21st St Unit 12BManhattan, NY 10010",,New York County,New York
,Multi-family home for sale,250000,5,2.0,2184.207862,"Jamaica, NY 11436","130-24 150th StJamaica, NY 11436",,New York,Queens County
,Pending,950000,6,2.3738608579684373,3384.0,"Jamaica, NY 11422","254-06 Craft Ave Unit 2Jamaica, NY 11422",,Queens County,Queens
Brokered by Keller Williams Realty Empire,House for sale,585000,3,2.0,1100.0,"Staten Island, NY 10306","192 Colfax AveStaten Island, NY 10306",United States,New York,Richmond County
Brokered by BROWN HARRIS STEVENS BROOKLYN LLC,House for sale,8750000,6,6.0,2184.207862,"Brooklyn, NY 11209","8200 Narrows AveBrooklyn, NY 11209",United States,New York,Kings County
"Brokered by Tom Marco Real Estate, Inc.",House for sale,595000,3,1.0,1316.0,"Brooklyn, NY 11234","1509 E 48th StBrooklyn, NY 11234",,New York,Kings County
,Condo for sale,215000,1,1.0,625.0,"New York, NY 10012","195 Prince St Unit 1LLNew York, NY 10012",New York,New York County,New York
Built by Toll Brothers,For sale,950000,1,1.0,621.0,"New York, NY 10025","The Rockwell # 3ANew York, NY 10025",,New York,New York County
,House for sale,314000,3,1.0,1572.0,"Brooklyn, NY 11210","850 E 39th StBrooklyn, NY 11210",United States,New York,Kings County
Brokered by Brown Harris Stevens,Condo for sale,395000,5,1.0,1000.0,"Manhattan, NY 10021","110 E 71st St Unit MedicalManhattan, NY 10021",,New York,New York County
Brokered by Prospes Real Estate Corp,Multi-family home for sale,600000,2,2.0,2184.207862,"Bronx, NY 10465","1406 Mac Donough PlBronx, NY 10465",United States,New York,Bronx County
,Multi-family home for sale,790000,6,3.0,2520.0,"Staten Island, NY 10314","78 Mountainview AveStaten Island, NY 10314",United States,New York,Richmond County
Brokered by STROFFOLINO REALTY LLC,Co-op for sale,539000,2,2.0,1100.0,"Brooklyn, NY 11209","9425 Shore Rd Apt 4FBrooklyn, NY 11209",,Kings County,Brooklyn
,Co-op for sale,1295000,4,2.0,1995.0,"Bronx, NY 10463","2501 Palisade Ave Apt H2Bronx, NY 10463",,Bronx County,The Bronx
,House for sale,245000,3,1.0,2184.207862,"Bronx, NY 10469","2942 Lurting AveBronx, NY 10469",,New York,Bronx County
,House for sale,400000,7,3.0,2385.0,"Bronx, NY 10470","340 E 234th StBronx, NY 10470",,New York,Bronx County
,House for sale,55000000,8,8.0,12000.0,"New York, NY 10023","25 Riverside DrNew York, NY 10023",United States,New York,New York County
,Co-op for sale,280000,1,1.0,1000.0,"Brooklyn, NY 11209","8015 6th Ave Apt A1Brooklyn, NY 11209",,Kings County,Brooklyn
,House for sale,899000,3,2.0,1440.0,"Staten Island, NY 10309","40 Adelphi AveStaten Island, NY 10309",,New York,Richmond County
,For sale,2280000,2,2.0,1400.0,"New York, NY 10025","The Rockwell # 6ENew York, NY 10025",United States,New York,New York County
,Coming Soon,649000,4,3.0,2184.207862,"Brooklyn, NY 11231","194 Carroll StBrooklyn, NY 11231",United States,New York,Kings County
,Pending,739000,6,4.0,2184.207862,"Brooklyn, NY 11229","38 Dare CtBrooklyn, NY 11229",United States,New York,Kings County
,House for sale,1495000,4,2.3738608579684373,3000.0,"Staten Island, NY 10312","31 4th CtStaten Island, NY 10312",United States,New York,Richmond County
,House for sale,3950000,5,2.0,3528.0,"Brooklyn, NY 11215","591 4th StBrooklyn, NY 11215",,New York,Kings County
,Condo for sale,325000,2,1.0,979.0,"New York, NY 10029","122 E 102nd St Apt 5BNew York, NY 10029",,New York County,New York
Brokered by Corcoran Chelsea/Flatiron,Pending,299999,3,1.0,2184.207862,"New York, NY 10023","215 W 75th St Apt 4DNew York, NY 10023",,New York County,New York
Brokered by Sotheby's International Realty - East Side Manhattan Brokerage,Townhouse for sale,2695000,6,5.0,4720.0,"New York, NY 10031","327 Convent AveNew York, NY 10031",,New York,New York County
,Pending,4800000,6,2.3738608579684373,3958.0,"Brooklyn, NY 11228","1151 83rd StBrooklyn, NY 11228",United States,New York,Kings County
,House for sale,694000,3,3.0,1360.0,"Staten Island, NY 10308","364 Armstrong AveStaten Island, NY 10308",United States,New York,Richmond County
,House for sale,688888,4,2.0,2846.0,"Bronx, NY 10467","761 S Oak DrBronx, NY 10467",,New York,Bronx County
Brokered by Sowae Corp,House for sale,400000,4,2.0,1980.0,"Brooklyn, NY 11208","781 Sheperd AveBrooklyn, NY 11208",United States,New York,Kings County
,Multi-family home for sale,346000,5,2.0,2184.207862,"Ozone Park, NY 11417","103-12 104th StOzone Park, NY 11417",United States,New York,Queens County
Brokered by Sowae Corp,House for sale,400000,4,2.0,1980.0,"Brooklyn, NY 11208","781 Sheperd AveBrooklyn, NY 11208",,New York,Kings County
,Multi-family home for sale,346000,5,2.0,2184.207862,"Ozone Park, NY 11417","103-12 104th StOzone Park, NY 11417",,New York,Queens County
,House for sale,265000,3,1.0,2184.207862,"Springfield Gardens, NY 11413","135-38 224th StSpringfield Gardens, NY 11413",,New York,Queens County
,House for sale,319000,3,2.0,1224.0,"Staten Island, NY 10306","57 Neutral AveStaten Island, NY 10306",,New York,Richmond County
,Townhouse for sale,24800000,6,8.0,2184.207862,"New York, NY 10021","45 E 74th StNew York, NY 10021",United States,New York,New York County
,House for sale,1100000,9,4.0,3276.0,"New York, NY 10032","421 W 154th StNew York, NY 10032",United States,New York,New York County
,Multi-family home for sale,309000,6,2.0,2184.207862,"Far Rockaway, NY 11691","2918 Brookhaven AveFar Rockaway, NY 11691",,New York,Queens County
Brokered by Keller Williams Realty Liberty,House for sale,650000,3,2.0,1522.0,"Bellerose, NY 11426","237-14 93rd RdBellerose, NY 11426",United States,New York,Queens County
,House for sale,799000,4,2.0,1975.0,"Staten Island, NY 10312","604 Lamont AveStaten Island, NY 10312",,New York,Richmond County
Brokered by Berkshire Hathaway HomeServices New York Properties - Eastchester,Co-op for sale,259000,3,2.0,1089.0,"Bronx, NY 10465","7E Edgewater Park Unit EBronx, NY 10465",,New York,Bronx County
