BROKERTITLE,TYPE,PRICE,BEDS,BATH,PROPERTYSQFT,STATE,MAIN_ADDRESS,ADMINISTRATIVE_AREA_LEVEL_2,LOCALITY,SUBLOCALITY
,Contingent,1999999,4,4.0,4803.0,"Staten Island, NY 10312","181 Androvette AveStaten Island, NY 10312",,New York,Richmond County
,Townhouse for sale,5990000,4,4.0,3750.0,"New York, NY 10014","96 Bank StNew York, NY 10014",,New York,New York County
,Co-op for sale,1235000,3,2.0,2184.207862,"Bronx, NY 10463","2501 Palisade Ave Apt D2Bronx, NY 10463",,Bronx County,The Bronx
Brokered by City Connections Realty,Co-op for sale,785000,1,1.0,2184.207862,"New York, NY 10016","10 Park Ave Unit 10KNew York, NY 10016",,New York County,New York
Brokered by Coldwell Banker Reliable Real Estate,Co-op for sale,750000,3,2.0,1750.0,"New York, NY 10032","870 Riverside Dr Apt 5DNew York, NY 10032",New York,New York County,New York
,Multi-family home for sale,1400000,3,3.0,2184.207862,"Long Island City, NY 11105","25-01 23rd AveLong Island City, NY 11105",,New York,Queens County
,Multi-family home for sale,865000,6,3.0,2464.0,"Bronx, NY 10465","910 Revere AveBronx, NY 10465",United States,New York,Bronx County
Brokered by COMPASS,Co-op for sale,324000,1,1.0,2184.207862,"Queens, NY 11372","35-31 85th St Unit 7FQueens, NY 11372",,New York,Queens County
,House for sale,1100000,3,4.0,3750.0,"Staten Island, NY 10307","7126 Amboy RdStaten Island, NY 10307",,New York,Richmond County
,Multi-family home for sale,2295000,3,7.0,2184.207862,"Brooklyn, NY 11224","4415 Atlantic AveBrooklyn, NY 11224",United States,New York,Kings County
Brokered by Douglas Elliman - 575 Madison Ave,House for sale,8950000,4,2.0,2570.0,"Brooklyn, NY 11201","69 Orange StBrooklyn, NY 11201",United States,New York,Kings County
Brokered by RE MAX Central,Multi-family home for sale,1348888,3,4.0,2450.0,"Staten Island, NY 10312","252 Ionia AveStaten Island, NY 10312",,New York,Richmond County
"Brokered by Robert E. Hill, Inc.",Co-op for sale,220000,2,1.0,850.0,"Bronx, NY 10471","5620 Netherland Ave Apt 3GBronx, NY 10471",,Bronx County,The Bronx
,Co-op for sale,185000,1,1.0,2184.207862,"Brooklyn, NY 11233","789 Macdonough St Apt 4GBrooklyn, NY 11233",,Kings County,Brooklyn
Brokered by Houlihan Lawrence,House for sale,499000,2,2.0,1350.0,"Bronx, NY 10470","514 E 235th StBronx, NY 10470",,New York,Bronx County
,Multi-family home for sale,999999,4,3.0,1980.0,"Brooklyn, NY 11209","362 90th StBrooklyn, NY 11209",,New York,Kings County
,Townhouse for sale,4995000,2,2.0,2000.0,"New York, NY 10014","51 Barrow StNew York, NY 10014",,New York,New York County
Brokered by Corcoran Park Avenue South,Pending,700000,2,1.0,2184.207862,"New York, NY 10009","248 E 7th St # 9/10New York, NY 10009",United States,New York,New York County
Brokered by RE MAX 1st Choice,House for sale,1180000,4,4.0,1820.0,"Little Neck, NY 11362","45-33 Zion StLittle Neck, NY 11362",,New York,Queens County
,Condo for sale,609000,2,2.0,2184.207862,"Flushing, NY 11355","132-03 Sanford Ave Unit 3HFlushing, NY 11355",New York,Queens County,Queens
,Co-op for sale,250000,2,1.0,950.0,"Brooklyn, NY 11223","2525 W 2nd St Apt 2EBrooklyn, NY 11223",New York,Kings County,Brooklyn
Brokered by Real Broker NY LLC,House for sale,689000,3,2.0,2184.207862,"South Ozone Park, NY 11420","111-45 120th StSouth Ozone Park, NY 11420",United States,New York,Queens County
Brokered by Jaymore Realty Llc,Multi-family home for sale,585000,4,2.0,2184.207862,"Far Rockaway, NY 11691","12-86 Augustina AveFar Rockaway, NY 11691",,New York,Queens County
,Condo for sale,109500,3,1.0,550.0,"Staten Island, NY 10301","1000 Clove Rd Apt 9FStaten Island, NY 10301",,Richmond County,Staten Island
,Co-op for sale,299000,3,1.0,640.0,"New York, NY 10022","410 E 57th St Apt 8BNew York, NY 10022",New York,New York County,New York
,House for sale,995000,3,2.0,1987.0,"Staten Island, NY 10301","23 Howard AveStaten Island, NY 10301",,New York,Richmond County
,Multi-family home for sale,1499000,6,2.0,3144.0,"Brooklyn, NY 11209","338 77th StBrooklyn, NY 11209",,New York,Kings County
Brokered by Douglas Elliman - Port Washington,Co-op for sale,299000,2,1.0,2184.207862,"Flushing, NY 11358","193-15 37 Ave Unit 177Flushing, NY 11358",,Queens County,Queens
,Co-op for sale,279000,3,1.0,550.0,"New York, NY 10034","57 Park Terrace Ter W Unit 3FNew York, NY 10034",New York,New York County,New York
,House for sale,235000,3,2.0,2184.207862,"South Ozone Park, NY 11420","131-16 115 AveSouth Ozone Park, NY 11420",,New York,Queens County
Brokered by COMPASS,Co-op for sale,17900000,6,4.0,2184.207862,"Manhattan, NY 10023","41 Central Park W Unit 11AManhattan, NY 10023",,New York County,New York
,Townhouse for sale,950000,5,3.0,2288.0,"Brooklyn, NY 11208","914 Pine StBrooklyn, NY 11208",United States,New York,Kings County
Brokered by KELLER WILLIAMS REALTY LANDMARK II,House for sale,859000,2,2.0,950.0,"Flushing, NY 11354","149-47 26th AveFlushing, NY 11354",,New York,Queens County
"Brokered by Compass Greater Ny, Llc",House for sale,1999000,5,4.0,2000.0,"Queens, NY 11372","34-51 74th StQueens, NY 11372",,New York,Queens County
Brokered by Lombardo Homes & Estates,Multi-family home for sale,1458888,8,2.3738608579684373,2988.0,"Hollis, NY 11423","86-84 188th StHollis, NY 11423",United States,New York,Queens County
,House for sale,650000,5,3.0,2184.207862,"Brooklyn, NY 11233","36A Rochester AveBrooklyn, NY 11233",,New York,Kings County
,House for sale,1100000,4,3.0,1400.0,"Brooklyn, NY 11228","7619 10th AveBrooklyn, NY 11228",,New York,Kings County
Brokered by E Realty International Corp,Condo for sale,478900,1,1.0,554.0,"Rego Park, NY 11374","65-18 Austin St Unit 2CRego Park, NY 11374",,Queens County,Queens
"Brokered by CLAS - Classic Marketing, LLC",Condo for sale,2795000,2,2.0,965.0,"New York, NY 10003","25 Fifth Ave Unit 5BNew York, NY 10003",,United States,New York
Brokered by Atlantic Apple Realty,Multi-family home for sale,560000,5,2.0,2624.0,"Staten Island, NY 10301","45 St Pauls AveStaten Island, NY 10301",United States,New York,Richmond County
Brokered by Momentum Real Estate LLC,Multi-family home for sale,868000,3,4.0,2024.0,"Staten Island, NY 10304","108 Dutchess AveStaten Island, NY 10304",,New York,Richmond County
Brokered by Regent Realty,House for sale,999000,3,2.0,2184.207862,"Flushing, NY 11358","196-11 45th AveFlushing, NY 11358",,New York,Queens County
,Multi-family home for sale,1590000,5,6.0,2184.207862,"Queens, NY 11417","149-43 Hawtree StQueens, NY 11417",11417,United States,New York
"Brokered by Harlem Lofts Inc.- Harlem Lofts, Inc.",Co-op for sale,149000,1,1.0,375.0,"New York, NY 10030","219 W 144th St Apt 41New York, NY 10030",New York,-,New York
,House for sale,594900,4,2.0,1355.0,"Rosedale, NY 11422","121-42 Laurelton PkwyRosedale, NY 11422",,New York,Queens County
,House for sale,799000,3,2.0,2184.207862,"Brooklyn, NY 11210","1462 E 23rd StBrooklyn, NY 11210",,New York,Kings County
Brokered by Homesmart Crossisland,Multi-family home for sale,985000,6,5.0,2184.207862,"Springfield Gardens, NY 11413","145-90 222nd StSpringfield Gardens, NY 11413",,New York,Queens County
,House for sale,685000,4,2.0,2625.0,"Saint Albans, NY 11412","116-33 198th StSaint Albans, NY 11412",United States,New York,Queens County
,Contingent,479888,3,2.0,1188.0,"Staten Island, NY 10309","124 Hampton PlStaten Island, NY 10309",,New York,Richmond County
Brokered by Wolf Properties Inc,Pending,2500000,3,2.3738608579684373,2184.207862,"Brooklyn, NY 11223","32 Village Rd NBrooklyn, NY 11223",,New York,Kings County
Brokered by Keller Williams NYC,Condo for sale,355000,1,1.0,514.0,"Brooklyn, NY 11225","961 Washington Ave Apt 1GBrooklyn, NY 11225",New York,Kings County,Brooklyn
Brokered by Corcoran Westside Columbus,Co-op for sale,260000,2,1.0,2184.207862,"New York, NY 10031","515 W 135th St Apt 4CNew York, NY 10031",New York,New York County,New York
,Townhouse for sale,2600000,5,5.0,4057.0,"Brooklyn, NY 11238","65 Gates AveBrooklyn, NY 11238",,New York,Kings County
,Pending,0,3,2.3738608579684373,2184.207862,"Brooklyn, NY 11223","30 Village Rd NBrooklyn, NY 11223",,New York,Kings County
Brokered by East Coast Realty Partners,Co-op for sale,220000,1,1.0,2184.207862,"Rego Park, NY 11374","6565 Wetherole St Apt 4ORego Park, NY 11374",,Queens County,Queens
Brokered by Charles H. Greenthal Property,Co-op for sale,489000,2,2.0,1549.0,"Floral Park, NY 11005","26910 Grand Central Pkwy Apt 27GFloral Park, NY 11005",,Queens County,Queens
,Multi-family home for sale,1288000,5,2.0,2375.0,"Brooklyn, NY 11214","1853 Benson AveBrooklyn, NY 11214",,New York,Kings County
,Condo for sale,200000,2,3.0,1260.0,"Manhattan, NY 10022","2 E 55th St Unit 1136W15Manhattan, NY 10022",United States,New York,New York County
,House for sale,625000,3,1.0,2184.207862,"Middle Village, NY 11379","64-01 Pleasantview StMiddle Village, NY 11379",United States,New York,Queens County
,Condo for sale,2245000,2,3.0,1724.0,"New York, NY 10028","171 E 84th St Apt 3BNew York, NY 10028",,New York County,New York
Brokered by Douglas Elliman - Syosset,House for sale,899000,3,2.0,2184.207862,"Howard Beach, NY 11414","163-43 90th StHoward Beach, NY 11414",United States,New York,Queens County
,Townhouse for sale,575000,4,2.0,1330.0,"Brooklyn, NY 11208","411 Montauk AveBrooklyn, NY 11208",,New York,Kings County
,House for sale,588888,4,2.0,1640.0,"Staten Island, NY 10314","187 Latimer AveStaten Island, NY 10314",United States,New York,Richmond County
,Multi-family home for sale,650000,6,2.3738608579684373,2184.207862,"Bronx, NY 10469","3106 Mickle AveBronx, NY 10469",United States,New York,Bronx County
Brokered by Fave Realty Inc,Multi-family home for sale,899999,8,4.0,2184.207862,"Brooklyn, NY 11203","375 Linden BlvdBrooklyn, NY 11203",,New York,Kings County
Brokered by RE MAX Voyage,Co-op for sale,315000,1,1.0,850.0,"Jackson Heights, NY 11372","35-31 85th St Unit 2MJackson Heights, NY 11372",,Queens County,Queens
Brokered by Houlihan & O'malley R. E. Serv,Multi-family home for sale,1599999,6,2.3738608579684373,4073.0,"Bronx, NY 10465","3176 Tierney PlBronx, NY 10465",,New York,Bronx County
,Townhouse for sale,10000000,5,2.3738608579684373,5660.0,"Manhattan, NY 10025","45 W 95th StManhattan, NY 10025",United States,New York,New York County
,House for sale,825000,4,2.0,2230.0,"Staten Island, NY 10312","263 Getz AveStaten Island, NY 10312",United States,New York,Richmond County
,Contingent,795000,3,3.0,1860.0,"Staten Island, NY 10306","166 Bancroft AveStaten Island, NY 10306",United States,New York,Richmond County
Brokered by BERGEN BASIN REALTY,House for sale,690000,3,2.0,1325.0,"Brooklyn, NY 11234","2041 E 64th StBrooklyn, NY 11234",,New York,Kings County
Brokered by Real Estate Executives,House for sale,1249949,4,4.0,2720.0,"Staten Island, NY 10307","21 Sanford StStaten Island, NY 10307",,New York,Richmond County
,House for sale,799000,4,3.0,2184.207862,"Brooklyn, NY 11236","921 E 98th StBrooklyn, NY 11236",United States,New York,Kings County
,Co-op for sale,115000,3,1.0,2184.207862,"Jamaica, NY 11432","87-15 165th St Unit 6CJamaica, NY 11432",New York,Queens County,Queens
,House for sale,2088000,4,4.0,2394.0,"Bayside, NY 11360","24-40 Little Neck BlvdBayside, NY 11360",United States,New York,Queens County
,Condo for sale,699000,2,2.0,1766.0,"Queens, NY 11694","124-11 Rockaway Beach Blvd # 1CQueens, NY 11694",New York,Queens County,Queens
,Co-op for sale,119000,1,1.0,650.0,"Bronx, NY 10462","754 Brady Ave Apt 205Bronx, NY 10462",New York,Bronx County,The Bronx
,Multi-family home for sale,1275000,5,3.0,2184.207862,"East Elmhurst, NY 11369","32-58 86th StEast Elmhurst, NY 11369",,New York,Queens County
Brokered by Keystone Realty USA Corp,Condo for sale,0,2,2.0,2184.207862,"Howard Beach, NY 11414","151-35 84th St Unit 3MHoward Beach, NY 11414",,Queens County,Queens
,Co-op for sale,309900,2,1.0,900.0,"Bronx, NY 10463","679 W 239th St Apt 5JBronx, NY 10463",,Bronx County,The Bronx
,Condo for sale,435000,3,2.0,1034.0,"Bronx, NY 10469","2877 Ely AveBronx, NY 10469",United States,New York,Bronx County
,House for sale,879000,3,3.0,2184.207862,"College Point, NY 11356","14-11 111th StCollege Point, NY 11356",United States,New York,Queens County
,Co-op for sale,325000,3,1.0,622.0,"New York, NY 10031","525 W 134th St Apt 2ENew York, NY 10031",New York,New York County,New York
Brokered by Legacy Estate Realty,Multi-family home for sale,1195000,16,8.0,2184.207862,"Brooklyn, NY 11232","453 42nd StBrooklyn, NY 11232",United States,New York,Kings County
,Co-op for sale,1900000,3,2.0,2200.0,"New York, NY 10007","160 Chambers St Apt 4New York, NY 10007",New York,New York County,New York
Brokered by Crifasi Real Estate Inc,House for sale,868000,3,2.0,2184.207862,"Middle Village, NY 11379","64-04 71st StMiddle Village, NY 11379",United States,New York,Queens County
,Multi-family home for sale,1770000,7,4.0,2184.207862,"College Point, NY 11356","924 129th StCollege Point, NY 11356",,New York,Queens County
Brokered by O Kane Realty,Multi-family home for sale,899000,5,3.0,1480.0,"Maspeth, NY 11378","58-31 71st StMaspeth, NY 11378",United States,New York,Queens County
,Pending,990000,2,2.0,960.0,"Brooklyn, NY 11216","253 Tompkins Ave Apt 4BBrooklyn, NY 11216",New York,Kings County,Brooklyn
,House for sale,818000,3,3.0,2184.207862,"Flushing, NY 11367","138-38 63 AveFlushing, NY 11367",,New York,Queens County
Brokered by Sowae Corp,House for sale,409000,4,2.0,2184.207862,"Flushing, NY 11367","144-28 72nd RdFlushing, NY 11367",United States,New York,Queens County
,Pending,679000,3,2.0,1474.0,"Brooklyn, NY 11224","3719 Mermaid Ave Unit 2BBrooklyn, NY 11224",New York,Kings County,Brooklyn
Brokered by Douglas Elliman - Bayside,Co-op for sale,259000,1,1.0,2184.207862,"Forest Hills, NY 11375","72-81 113 St Unit 6KForest Hills, NY 11375",New York,Queens County,Queens
,House for sale,850000,6,3.0,2280.0,"Brooklyn, NY 11215","62 15th St Unit 15THBrooklyn, NY 11215",,Kings County,Brooklyn
,Townhouse for sale,8750000,6,6.0,6000.0,"Brooklyn, NY 11209","8200 Narrows Ave Unit TownhouseBrooklyn, NY 11209",,New York,Kings County
Brokered by RE MAX Real Estate Professionals,House for sale,495000,2,2.0,953.0,"Staten Island, NY 10303","79 Benjamin DrStaten Island, NY 10303",United States,New York,Richmond County
,Co-op for sale,825000,2,1.0,800.0,"Brooklyn, NY 11215","14 Prospect Park SW Apt 39Brooklyn, NY 11215",,Kings County,Brooklyn
Brokered by Douglas Elliman - Long Beach,Co-op for sale,1075000,4,2.0,1800.0,"Jackson Heights, NY 11372","37-30 83rd St Unit 4EFJackson Heights, NY 11372",New York,Queens County,Queens
Brokered by Douglas Elliman - 3544 Johnson Ave,House for sale,1950000,5,4.0,4000.0,"Bronx, NY 10471","5501 Palisade Ave Lot 2Bronx, NY 10471",,Bronx County,The Bronx
,House for sale,6800000,7,2.3738608579684373,5130.0,"Staten Island, NY 10304","131 Cliffwood AveStaten Island, NY 10304",,United States,New York
Brokered by Corcoran West Side,Multi-family home for sale,7999000,20,10.0,2184.207862,"New York, NY 10025","414 Riverside DrNew York, NY 10025",United States,New York,New York County
,Condo for sale,0,2,2.0,900.0,"Maspeth, NY 11378","57-15 69th Ln Unit 1Maspeth, NY 11378",,Queens County,Queens
Brokered by COMPASS,Condo for sale,8995000,5,4.0,4373.0,"Manhattan, NY 10019","135 W 52nd St Ph 5Manhattan, NY 10019",,New York County,New York
,Condo for sale,629000,3,2.0,1360.0,"Brooklyn, NY 11228","269 Bay 8th St Apt 2RBrooklyn, NY 11228",,Kings County,Brooklyn
Brokered by Reony.Com Ltd,Condo for sale,329900,2,2.0,993.0,"Howard Beach, NY 11414","149-30 88 St Unit 4DHoward Beach, NY 11414",New York,Queens County,Queens
Brokered by Keller Williams Rlty Landmark,House for sale,1788888,4,4.0,2184.207862,"Whitestone, NY 11357","162-15 14th AveWhitestone, NY 11357",,New York,Queens County
,House for sale,899000,5,2.0,2184.0,"Staten Island, NY 10306","39 Rene DrStaten Island, NY 10306",United States,New York,Richmond County
,Condo for sale,0,3,1.0,750.0,"New York, NY 10021","163 E 71st St Unit 1New York, NY 10021",New York,New York County,New York
,House for sale,1290000,3,2.0,2905.0,"Bronx, NY 10471","5040 Tibbett AveBronx, NY 10471",,New York,Bronx County
,Co-op for sale,109000,1,1.0,2184.207862,"Bronx, NY 10467","335 E 209th St Apt 4Bronx, NY 10467",,Bronx County,The Bronx
"Brokered by Robert DeFalco Realty, Inc.",House for sale,545000,6,3.0,1344.0,"Staten Island, NY 10306","46 Lincoln AveStaten Island, NY 10306",,New York,Richmond County
,Co-op for sale,307000,2,1.0,960.0,"Bronx, NY 10463","629 Kappock St Apt 2PBronx, NY 10463",New York,Bronx County,The Bronx
,Condo for sale,595000,1,1.0,750.0,"New York, NY 10009","189 Avenue C Apt 9DNew York, NY 10009",,New York County,New York
Brokered by Ashford Homes,House for sale,1088888,5,4.0,2452.0,"Staten Island, NY 10304","75 Four Corners RdStaten Island, NY 10304",,New York,Richmond County
Brokered by Exp Realty,Townhouse for sale,650000,3,2.0,1912.0,"Bronx, NY 10469","1077 Adee AveBronx, NY 10469",United States,New York,Bronx County
,Multi-family home for sale,0,35,16.0,15000.0,"Brooklyn, NY 11214","8699 Bay Pkwy Unit 16Brooklyn, NY 11214",,New York,Kings County
,Multi-family home for sale,949999,5,3.0,1740.0,"Ozone Park, NY 11417","109-42 Centreville StOzone Park, NY 11417",United States,New York,Queens County
Brokered by Han Tang Realty Inc.,Multi-family home for sale,879000,4,2.0,1998.0,"Bronx, NY 10461","2026 Mayflower AveBronx, NY 10461",,New York,Bronx County
,House for sale,850000,6,4.0,2886.0,"Far Rockaway, NY 11691","1358 Norton DrFar Rockaway, NY 11691",,New York,Queens County
,Co-op for sale,675000,2,2.0,1200.0,"Brooklyn, NY 11209","9437 Shore Rd Unit 1ABrooklyn, NY 11209",,Kings County,Brooklyn
,House for sale,199000,2,1.0,900.0,"Staten Island, NY 10303","2701 Goethals Rd N Apt D7Staten Island, NY 10303",,New York,Richmond County
,House for sale,395000,3,1.0,430.0,"New York, NY 10005","56 Pine St Apt 10ENew York, NY 10005",,New York County,New York
,Co-op for sale,368000,2,2.0,2184.207862,"Bayside, NY 11360","18-05 215th St Unit 12HBayside, NY 11360",,Queens County,Queens
,Multi-family home for sale,999999,5,2.0,2754.0,"Staten Island, NY 10312","184 Lovelace AveStaten Island, NY 10312",,New York,Richmond County
Brokered by Re/Max In The City,Condo for sale,374900,1,1.0,782.0,"Bronx, NY 10463","2287 Johnson Ave Apt 12BBronx, NY 10463",New York,Bronx County,The Bronx
Brokered by Best Service Realty Corp.,Co-op for sale,365000,2,1.0,2184.207862,"Jackson Heights, NY 11372","37-30 83rd St Unit 2HJackson Heights, NY 11372",,Queens County,Queens
,Townhouse for sale,25500000,5,2.3738608579684373,2184.207862,"New York, NY 10014","763 Greenwich StNew York, NY 10014",,New York,New York County
Brokered by Station Cities,Multi-family home for sale,999000,7,3.0,3036.0,"Bronx, NY 10451","784 Elton AveBronx, NY 10451",,New York,Bronx County
,House for sale,825000,3,2.0,2184.207862,"Rego Park, NY 11374","62-72 Wetherole StRego Park, NY 11374",United States,New York,Queens County
,House for sale,889000,3,2.0,2184.207862,"Bronx, NY 10471","6012 Delafield AveBronx, NY 10471",United States,New York,Bronx County
Brokered by Ditommaso Real Estate,Co-op for sale,225000,2,1.0,789.0,"Brooklyn, NY 10301","1100 Clove Rd Apt 2DBrooklyn, NY 10301",,Richmond County,Staten Island
,House for sale,799500,2,2.0,2250.0,"Staten Island, NY 10307","627 Rockaway StStaten Island, NY 10307",United States,New York,Richmond County
Brokered by Coldwell Banker American Homes,House for sale,779000,2,2.0,2184.207862,"Brooklyn, NY 11234","1947 Hendrickson StBrooklyn, NY 11234",United States,New York,Kings County
,Multi-family home for sale,1880000,7,2.0,3240.0,"Brooklyn, NY 11209","415 72nd StBrooklyn, NY 11209",United States,New York,Kings County
,Townhouse for sale,3000000,5,2.3738608579684373,5000.0,"Manhattan, NY 10030","263 W 139th StManhattan, NY 10030",United States,New York,New York County
,Co-op for sale,480000,3,2.0,2184.207862,"Bronx, NY 10463","3901 Independence Ave Apt 2TBronx, NY 10463",New York,Bronx County,The Bronx
Brokered by Island Advantage Realty Llc,House for sale,820000,4,3.0,2184.207862,"Jamaica, NY 11432","150-08 Grand Central PkwyJamaica, NY 11432",,Na,Queens County
Brokered by New York Residential R E,Co-op for sale,385000,2,1.0,800.0,"Whitestone, NY 11357","160-34 Cross Island Pkwy Unit 6-202Whitestone, NY 11357",,Queens County,Queens
Brokered by Jacobson Realty Ltd,House for sale,709999,4,2.0,2184.207862,"Springfield Gardens, NY 11413","220-45 138th AveSpringfield Gardens, NY 11413",,New York,Queens County
,House for sale,699000,3,2.0,1500.0,"South Ozone Park, NY 11420","115-11 126th StSouth Ozone Park, NY 11420",United States,New York,Queens County
Brokered by Ilite Realty Inc,Condo for sale,649000,3,2.0,1400.0,"Brooklyn, NY 11235","1220 Avenue Y Unit OaBrooklyn, NY 11235",,New York,Kings County
Brokered by Diane Realty Ltd.,Townhouse for sale,529000,3,2.3738608579684373,1618.0,"Staten Island, NY 10314","23 Arielle LnStaten Island, NY 10314",,New York,Richmond County
Brokered by Exp Realty,Co-op for sale,325000,2,1.0,750.0,"New York, NY 10029","129 E 102nd St Apt 5BNew York, NY 10029",New York,New York County,New York
,House for sale,999000,3,1.0,1392.0,"Brooklyn, NY 11234","1648 Marine PkwyBrooklyn, NY 11234",United States,New York,Kings County
Brokered by Sowae Corp,House for sale,160000,3,2.3738608579684373,1064.0,"Jamaica, NY 11436","114-48 148 StJamaica, NY 11436",United States,New York,Queens County
,Condo for sale,3895000,3,3.0,1884.0,"New York, NY 10004","70 Little West St Apt 26BNew York, NY 10004",,New York County,New York
Brokered by Corcoran Brooklyn Heights,Co-op for sale,0,1,1.0,2184.207862,"Brooklyn, NY 11201","114 Remsen St Apt ABrooklyn, NY 11201",United States,New York,Kings County
,Condo for sale,615000,3,2.0,1165.0,"Brooklyn, NY 11224","501 Surf Ave Apt 18FBrooklyn, NY 11224",Kings County,Brooklyn,Coney Island
Brokered by Joyce Realty,Co-op for sale,249000,2,1.0,800.0,"Bronx, NY 10465","12 Edgewater Park Unit BBronx, NY 10465",United States,New York,Bronx County
,Townhouse for sale,1290000,3,2.0,1998.0,"Brooklyn, NY 11223","1867 W 4th StBrooklyn, NY 11223",,New York,Kings County
,Multi-family home for sale,850000,4,2.0,2375.0,"Staten Island, NY 10309","18 Salamander CtStaten Island, NY 10309",,New York,Richmond County
,House for sale,588000,3,2.0,1140.0,"Staten Island, NY 10310","111 E Raleigh StStaten Island, NY 10310",,New York,Richmond County
,House for sale,1790000,4,2.0,2184.207862,"Forest Hills, NY 11375","69-55 Kessel StForest Hills, NY 11375",,New York,Queens County
Brokered by Best American Homes Inc,Multi-family home for sale,1175000,9,3.0,2184.207862,"East Elmhurst, NY 11369","32-27 92nd StEast Elmhurst, NY 11369",United States,New York,Queens County
,House for sale,579000,4,2.0,2184.207862,"Bronx, NY 10465","1523 Bayview AveBronx, NY 10465",,New York,Bronx County
"Brokered by Robert E. Hill, Inc.",Co-op for sale,249000,1,1.0,850.0,"Bronx, NY 10463","601 Kappock St Apt 3NBronx, NY 10463",,Bronx County,The Bronx
,House for sale,2480000,3,2.0,3600.0,"Whitestone, NY 11357","151-06 25th AveWhitestone, NY 11357",,New York,Queens County
,Multi-family home for sale,999000,4,3.0,2270.0,"Bronx, NY 10469","2415 Throop AveBronx, NY 10469",United States,New York,Bronx County
,Co-op for sale,228500,1,1.0,750.0,"Kew Gardens, NY 11415","123-35 82nd Rd Unit 7UKew Gardens, NY 11415",New York,Queens County,Queens
,Co-op for sale,305000,2,1.0,2184.207862,"Whitestone, NY 11357","164-11 Willets Point Blvd Unit 2Whitestone, NY 11357",New York,Queens County,Queens
Brokered by Hudson Group Realty Network Inc,Multi-family home for sale,1500000,6,2.0,3600.0,"New York, NY 10027","344 W 121st StNew York, NY 10027",United States,New York,New York County
Brokered by American Homes Group,Multi-family home for sale,778000,4,3.0,2185.0,"Staten Island, NY 10310","126 Elizabeth StStaten Island, NY 10310",United States,New York,Richmond County
Brokered by E Realty International Corp,House for sale,850000,3,2.0,1320.0,"Whitestone, NY 11357","151-23 12th RdWhitestone, NY 11357",,New York,Queens County
Brokered by Cross Country Realty,House for sale,428000,3,3.0,2184.207862,"Brooklyn, NY 11234","1126 E 73rd St Units 43 & 33Brooklyn, NY 11234",,New York,Kings County
,Co-op for sale,639000,1,1.0,2184.207862,"New York, NY 10028","45 E End Ave Apt 5ENew York, NY 10028",New York,New York County,New York
,House for sale,835000,3,2.0,2184.207862,"Brooklyn, NY 11234","4408 Flatlands AveBrooklyn, NY 11234",United States,New York,Kings County
Brokered by Douglas Elliman - Bayside,House for sale,1250000,3,2.0,1560.0,"Bayside, NY 11360","28-39 213th StBayside, NY 11360",,New York,Queens County
,House for sale,1695000,5,3.0,2160.0,"Brooklyn, NY 11209","68 74th StBrooklyn, NY 11209",,New York,Kings County
,House for sale,502900,4,2.0,1440.0,"Cambria Heights, NY 11411","11718 Nashville BlvdCambria Heights, NY 11411",,New York,Queens County
,Multi-family home for sale,749000,4,2.0,1420.0,"Bronx, NY 10461","2119 Lurting AveBronx, NY 10461",,New York,Bronx County
,Multi-family home for sale,529000,5,2.0,2248.0,"Far Rockaway, NY 11691","216 Beach 31st StFar Rockaway, NY 11691",,New York,Queens County
,House for sale,705000,2,2.0,2184.207862,"Middle Village, NY 11379","76-22 57th RdMiddle Village, NY 11379",,New York,Queens County
,Co-op for sale,549000,1,1.0,2184.207862,"New York, NY 10021","535 E 72nd St Apt 4ANew York, NY 10021",,New York County,New York
,Multi-family home for sale,7200000,3,2.3738608579684373,48000.0,"Bronx, NY 10467","3650 Bronx BlvdBronx, NY 10467",United States,New York,Bronx County
,Co-op for sale,335000,2,1.0,745.0,"Jackson Heights, NY 11372","35-35 82nd St Unit 24Jackson Heights, NY 11372",,Queens County,Queens
Brokered by Coldwell Banker American Homes,House for sale,599000,3,2.0,2184.207862,"Rockaway Park, NY 11694","312F Beach 101st StRockaway Park, NY 11694",United States,New York,Queens County
,Townhouse for sale,0,1,2.0,1059.0,"Staten Island, NY 10312","306 Ilyssa WayStaten Island, NY 10312",,New York,Richmond County
Brokered by TREBACH REALTY INC,Co-op for sale,295000,1,1.0,2184.207862,"Bronx, NY 10463","3001 Henry Hudson Pkwy Apt 3IBronx, NY 10463",United States,New York,Bronx County
,House for sale,560000,3,2.0,2184.207862,"Bronx, NY 10473","815 Havemeyer AveBronx, NY 10473",United States,New York,Bronx County
,Co-op for sale,549000,1,1.0,2184.207862,"New York, NY 10021","535 E 72nd St Apt 4ANew York, NY 10021",,New York County,New York
Brokered by EXP Realty,Co-op for sale,335000,2,1.0,745.0,"Jackson Heights, NY 11372","35-35 82nd St Unit 24Jackson Heights, NY 11372",New York,Queens County,Queens
,Townhouse for sale,334999,1,2.0,1059.0,"Staten Island, NY 10312","306 Ilyssa WayStaten Island, NY 10312",,New York,Richmond County
Brokered by TREBACH REALTY INC,Co-op for sale,295000,1,1.0,2184.207862,"Bronx, NY 10463","3001 Henry Hudson Pkwy Apt 3IBronx, NY 10463",,New York,Bronx County
,House for sale,799000,3,2.0,2279.0,"Brooklyn, NY 11234","6911 Avenue YBrooklyn, NY 11234",United States,New York,Kings County
